"Geneid","ORE_male_1","CHD_male_1","ORE_male_2","CHD_male_2 "
"FBgn0037130","322","159","313","46"
"FBgn0037129","3","1","2","1"
"FBgn0037127","0","0","0","0"
"FBgn0037126","101","42","94","8"
"FBgn0037124","2","0","1","0"
"FBgn0037123","1","0","0","0"
"FBgn0037122","6","1","6","0"
"FBgn0037120","274","149","212","34"
"FBgn0052447","11","13","6","0"
"FBgn0037116","288","233","269","55"
"FBgn0037114","0","1","2","0"
"FBgn0037109","501","250","380","78"
"FBgn0037107","360","192","320","59"
"FBgn0037105","65","50","59","11"
"FBgn0037140","90","43","52","7"
"FBgn0037142","487","257","359","52"
"FBgn0037143","2","0","0","0"
"FBgn0037144","18","10","13","2"
"FBgn0029091","7","2","5","4"
"FBgn0037146","3125","1664","2395","476"
"FBgn0000045","107","28","89","3"
"FBgn0004514","117","64","114","13"
